Tool Name,Category,Description,Free Plan Available,Pricing (Starting),Website
Claude,Research/Content Creation,AI conversational model for research and writing,Yes,Pro at $20/month,https://anthropic.com/claude
Perplexity,Research,AI-powered search and research tool,Yes,Pro at $20/month,https://www.perplexity.ai
You.com,Research,AI-driven search and content generation,Yes,Pro at $15/month,https://you.com
Bing Chat,Research,AI-powered search and chat tool,Yes,Free,https://www.bing.com
Leap AI,Image Creation,AI-driven image generation,Yes,Custom pricing,https://www.leapai.com
Segmind,Image Creation,AI-powered image generation,Yes,Starts at $9/month,https://www.segmind.com
Stockimg,Image Creation,AI-driven stock image creation,Yes,Starts at $19/month,https://stockimg.ai
Tome,Presentation,AI-powered presentation creation,Yes,Pro at $8/month,https://tome.app
Movio,Video Creation,AI-driven video content creation,Yes,Custom pricing,https://www.movio.la
Fireflies,Meeting Assistant,AI-powered meeting transcription,Yes,Pro at $10/month,https://fireflies.ai
Slides AI,Presentation,AI-driven slide creation,Yes,Pro at $10/month,https://www.slidesai.io
Taskade,Project Management,AI-powered task and workflow management,Yes,Pro at $4/month,https://www.taskade.com
ChatPDF,Document Analysis,AI-driven PDF analysis,Yes,Pro at $5/month,https://www.chatpdf.com
Browse AI,Data Scraping,AI-powered web scraping,Yes,Starts at $19/month,https://www.browse.ai
Gamma AI,Presentation,AI-driven presentation creation,Yes,Pro at $8/month,https://gamma.app
Stability AI,Image Creation,AI-powered image generation,Yes,Custom pricing,https://stability.ai
Numerous AI,Automation,AI-driven spreadsheet automation,Yes,Pro at $9/month,https://numerous.ai
Background AI,Image Editing,AI-powered background removal,Yes,Pay-per-use,https://www.remove.bg
Upmetrics,Business Planning,AI-powered business plan generator,Yes,Starts at $7/month,https://upmetrics.co
Hostinger Landing Page Builder,Website Builder,AI-driven landing page creation,Yes,Starts at $3.99/month,https://www.hostinger.com
Woorise,Marketing,AI-driven lead generation and campaigns,Yes,Starts at $23/month,https://woorise.com
Venngage,Design,AI-powered infographic generator,Yes,Premium at $10/month,https://venngage.com
Potion,Video Outreach,AI-driven video messaging for sales,Yes,Custom pricing,https://www.potion.so
Metabase,Data Analysis,AI-powered data visualization,Yes,Starts at $85/month,https://www.metabase.com
Billdu,Finance,AI-driven invoicing and expense tracking,Yes,Starts at $4/month,https://www.billdu.com
HoneyBook,Client Management,AI-powered client management and invoicing,Yes,Starts at $19/month,https://www.honeybook.com
Content Snare,Client Management,AI-driven client content collection,Yes,Starts at $29/month,https://contentsnare.com
ClearVoice,Content Creation,AI-driven content creation platform,Yes,Custom pricing,https://www.clearvoice.com
Lunafi,Finance,AI-powered freelance finance management,Yes,Custom pricing,https://www.lunafi.io
Flowlu,Business Management,AI-driven business and project management,Yes,Starts at $29/month,https://www.flowlu.com
Doola,Business Formation,AI-assisted company formation and compliance,Yes,Starts at $39/month,https://www.doola.com
Make,Automation,AI-driven workflow automation,Yes,Starts at $9/month,https://www.make.com
Rock,Collaboration,AI-driven chat and task management,Yes,Free,https://www.rock.so
OnePageCRM,CRM,AI-driven sales CRM,Yes,Starts at $9.95/month,https://www.onepagecrm.com
Reimagine.ai,Image Editing,AI-powered image variation creation,Yes,Custom pricing,https://reimagine.ai
Domo,Data Analysis,AI-driven data integration and analytics,Yes,Custom pricing,https://www.domo.com
Kajabi,Business Management,AI-driven course and membership platform,Yes,Starts at $149/month,https://kajabi.com
Figma,Design,AI-assisted design collaboration,Yes,Professional at $12/month,https://www.figma.com
Uizard,UI/UX Design,AI-driven UI/UX prototyping,Yes,Pro at $12/month,https://uizard.io
Galileo AI,UI/UX Design,AI-powered interface design,Yes,Custom pricing,https://www.usegalileo.ai
Instant AI,UI/UX Design,AI-driven UI design tool,Yes,Custom pricing,https://instantai.io
